,x1,x2,x3,x4,x5,x6,y
273,46.445,47.135,47.485,47.55,47.47,47.33,47.685
274,47.135,47.485,47.55,47.47,47.33,47.685,47.97
275,47.485,47.55,47.47,47.33,47.685,47.97,48.255
276,47.55,47.47,47.33,47.685,47.97,48.255,49.65
277,47.47,47.33,47.685,47.97,48.255,49.65,49.345
278,47.33,47.685,47.97,48.255,49.65,49.345,49.365
279,47.685,47.97,48.255,49.65,49.345,49.365,48.975
280,47.97,48.255,49.65,49.345,49.365,48.975,48.995
281,48.255,49.65,49.345,49.365,48.975,48.995,49.04
282,49.65,49.345,49.365,48.975,48.995,49.04,48.965
283,49.345,49.365,48.975,48.995,49.04,48.965,49.065
284,49.365,48.975,48.995,49.04,48.965,49.065,49.305
285,48.975,48.995,49.04,48.965,49.065,49.305,49.25
286,48.995,49.04,48.965,49.065,49.305,49.25,49.11
287,49.04,48.965,49.065,49.305,49.25,49.11,49.015
288,48.965,49.065,49.305,49.25,49.11,49.015,48.885
289,49.065,49.305,49.25,49.11,49.015,48.885,49.235
290,49.305,49.25,49.11,49.015,48.885,49.235,48.965
291,49.25,49.11,49.015,48.885,49.235,48.965,49.06
292,49.11,49.015,48.885,49.235,48.965,49.06,48.935
293,49.015,48.885,49.235,48.965,49.06,48.935,48.885
294,48.885,49.235,48.965,49.06,48.935,48.885,49.215
295,49.235,48.965,49.06,48.935,48.885,49.215,49.087
296,48.965,49.06,48.935,48.885,49.215,49.087,49.72
297,49.06,48.935,48.885,49.215,49.087,49.72,49.805
298,48.935,48.885,49.215,49.087,49.72,49.805,49.745
299,48.885,49.215,49.087,49.72,49.805,49.745,49.405
300,49.215,49.087,49.72,49.805,49.745,49.405,49.425
301,49.087,49.72,49.805,49.745,49.405,49.425,48.93
302,49.72,49.805,49.745,49.405,49.425,48.93,48.755
303,49.805,49.745,49.405,49.425,48.93,48.755,48.595
304,49.745,49.405,49.425,48.93,48.755,48.595,49.205
305,49.405,49.425,48.93,48.755,48.595,49.205,49.175
306,49.425,48.93,48.755,48.595,49.205,49.175,49.05
307,48.93,48.755,48.595,49.205,49.175,49.05,49.11
308,48.755,48.595,49.205,49.175,49.05,49.11,49.13
309,48.595,49.205,49.175,49.05,49.11,49.13,49.35
310,49.205,49.175,49.05,49.11,49.13,49.35,50.18
311,49.175,49.05,49.11,49.13,49.35,50.18,50.37
312,49.05,49.11,49.13,49.35,50.18,50.37,49.965
313,49.11,49.13,49.35,50.18,50.37,49.965,50.295
314,49.13,49.35,50.18,50.37,49.965,50.295,50.67
315,49.35,50.18,50.37,49.965,50.295,50.67,50.745
316,50.18,50.37,49.965,50.295,50.67,50.745,50.885
317,50.37,49.965,50.295,50.67,50.745,50.885,51.175
318,49.965,50.295,50.67,50.745,50.885,51.175,52.17
319,50.295,50.67,50.745,50.885,51.175,52.17,52.45
320,50.67,50.745,50.885,51.175,52.17,52.45,52.365
321,50.745,50.885,51.175,52.17,52.45,52.365,52.075
322,50.885,51.175,52.17,52.45,52.365,52.075,52.13
323,51.175,52.17,52.45,52.365,52.075,52.13,51.965
324,52.17,52.45,52.365,52.075,52.13,51.965,52.03
